time,fridge_temp,fridge_on,moer,lbs_co2
0,33,False,0,0
5,33.42,False,0,0
10,33.83,False,0,0
15,34.25,False,0,0
20,34.67,False,24,0
25,35.08,False,402,0
30,35.5,False,419,0
35,35.92,False,420,0
40,36.33,False,477,0
45,36.75,False,573,0
50,37.17,False,829,0
55,37.58,False,1463,0
60,38.0,False,736,0
65,38.42,False,659,0
70,38.83,True,657,0.01095
75,38.0,False,743,0
80,38.42,False,690,0
85,38.83,False,811,0
90,39.25,False,803,0
95,39.67,True,799,0.01331667
100,38.83,True,1043,0.01738333
105,38.0,False,1061,0
110,38.42,False,1062,0
115,38.83,False,1082,0
120,39.25,False,1050,0
125,39.67,True,1049,0.01748333
130,38.83,True,1100,0.01833333
135,38.0,False,1344,0
140,38.42,False,1463,0
145,38.83,False,1463,0
150,39.25,False,1463,0
155,39.67,False,1463,0
160,40.08,True,1290,0.0215
165,39.25,False,1463,0
170,39.67,False,1463,0
175,40.08,False,1463,0
180,40.5,False,1306,0
185,40.92,False,1331,0
190,41.33,False,1463,0
195,41.75,False,1463,0
200,42.17,False,1370,0
205,42.58,False,1278,0
210,43.0,True,1234,0.02056667
215,42.17,False,1164,0
220,42.58,False,1117,0
225,43.0,True,1082,0.01803333
230,42.17,True,1082,0.01803333
235,41.33,True,1080,0.018
240,40.5,False,1120,0
245,40.92,False,1117,0
250,41.33,False,1117,0
255,41.75,False,1170,0
260,42.17,False,1170,0
265,42.58,True,1084,0.01806667
270,41.75,False,1119,0
275,42.17,True,934,0.01556667
280,41.33,True,804,0.0134
285,40.5,True,896,0.01493333
290,39.67,False,1409,0
295,40.08,False,1247,0
300,40.5,False,1462,0
305,40.92,True,1057,0.01761667
310,40.08,False,1463,0
315,40.5,False,1463,0
320,40.92,False,1463,0
325,41.33,False,1463,0
330,41.75,False,1463,0
335,42.17,False,1463,0
340,42.58,False,855,0
345,43.0,True,581,0.00968333
350,42.17,True,615,0.01025
355,41.33,True,710,0.01183333
360,40.5,False,944,0
365,40.92,False,1072,0
370,41.33,False,1072,0
375,41.75,False,1162,0
380,42.17,False,1067,0
385,42.58,False,836,0
390,43.0,True,745,0.01241667
395,42.17,False,645,0
400,42.58,False,642,0
405,43.0,True,640,0.01066667
410,42.17,True,609,0.01015
415,41.33,True,542,0.00903333
420,40.5,False,674,0
425,40.92,False,702,0
430,41.33,False,702,0
435,41.75,False,671,0
440,42.17,False,638,0
445,42.58,False,638,0
450,43.0,True,569,0.00948333
455,42.17,False,541,0
460,42.58,False,534,0
465,43.0,True,534,0.0089
470,42.17,False,538,0
475,42.58,True,504,0.0084
480,41.75,True,488,0.00813333
485,40.92,False,521,0
490,41.33,False,521,0
495,41.75,False,531,0
500,42.17,False,531,0
505,42.58,False,500,0
510,43.0,True,488,0.00813333
515,42.17,False,468,0
520,42.58,False,463,0
525,43.0,True,443,0.00738333
530,42.17,True,443,0.00738333
535,41.33,True,443,0.00738333
540,40.5,False,507,0
545,40.92,False,496,0
550,41.33,False,495,0
555,41.75,False,491,0
560,42.17,False,491,0
565,42.58,True,435,0.00725
570,41.75,True,435,0.00725
575,40.92,True,435,0.00725
580,40.08,False,490,0
585,40.5,True,490,0.00816667
590,39.67,True,488,0.00813333
595,38.83,False,522,0
600,39.25,False,651,0
605,39.67,False,697,0
610,40.08,False,568,0
615,40.5,False,566,0
620,40.92,True,518,0.00863333
625,40.08,False,562,0
630,40.5,False,562,0
635,40.92,False,563,0
640,41.33,False,566,0
645,41.75,False,566,0
650,42.17,False,565,0
655,42.58,False,629,0
660,43.0,True,502,0.00836667
665,42.17,True,492,0.0082
670,41.33,False,502,0
675,41.75,False,520,0
680,42.17,False,492,0
685,42.58,True,491,0.00818333
690,41.75,True,492,0.0082
695,40.92,True,492,0.0082
700,40.08,True,492,0.0082
705,39.25,False,503,0
710,39.67,False,599,0
715,40.08,False,647,0
720,40.5,True,498,0.0083
725,39.67,False,528,0
730,40.08,True,504,0.0084
735,39.25,False,519,0
740,39.67,False,519,0
745,40.08,False,532,0
750,40.5,True,530,0.00883333
755,39.67,False,557,0
760,40.08,False,559,0
765,40.5,False,550,0
770,40.92,False,550,0
775,41.33,False,566,0
780,41.75,True,467,0.00778333
785,40.92,True,559,0.00931667
790,40.08,False,566,0
795,40.5,True,566,0.00943333
800,39.67,False,582,0
805,40.08,True,592,0.00986667
810,39.25,True,465,0.00775
815,38.42,False,720,0
820,38.83,False,720,0
825,39.25,False,606,0
830,39.67,False,618,0
835,40.08,True,595,0.00991667
840,39.25,False,740,0
845,39.67,False,740,0
850,40.08,False,753,0
855,40.5,True,740,0.01233333
860,39.67,True,740,0.01233333
865,38.83,True,845,0.01408333
870,38.0,False,1104,0
875,38.42,False,1104,0
880,38.83,True,1139,0.01898333
885,38.0,False,1463,0
890,38.42,False,1463,0
895,38.83,True,1338,0.0223
900,38.0,False,1463,0
905,38.42,False,1463,0
910,38.83,False,1463,0
915,39.25,False,1463,0
920,39.67,False,1463,0
925,40.08,False,1463,0
930,40.5,False,1463,0
935,40.92,True,1463,0.02438333
940,40.08,False,1463,0
945,40.5,False,1463,0
950,40.92,False,1463,0
955,41.33,False,1463,0
960,41.75,False,1329,0
965,42.17,False,1463,0
970,42.58,False,1326,0
975,43.0,True,1320,0.022
980,42.17,True,1033,0.01721667
985,41.33,False,1127,0
990,41.75,False,1108,0
995,42.17,False,1224,0
1000,42.58,False,1065,0
1005,43.0,True,654,0.0109
1010,42.17,False,511,0
1015,42.58,True,407,0.00678333
1020,41.75,True,440,0.00733333
1025,40.92,False,462,0
1030,41.33,False,466,0
1035,41.75,False,483,0
1040,42.17,False,459,0
1045,42.58,False,456,0
1050,43.0,True,406,0.00676667
1055,42.17,True,419,0.00698333
1060,41.33,False,453,0
1065,41.75,False,474,0
1070,42.17,False,474,0
1075,42.58,True,390,0.0065
1080,41.75,True,353,0.00588333
1085,40.92,True,405,0.00675
1090,40.08,False,407,0
1095,40.5,False,463,0
1100,40.92,False,476,0
1105,41.33,False,527,0
1110,41.75,False,510,0
1115,42.17,False,522,0
1120,42.58,False,539,0
1125,43.0,True,0,0.0
1130,42.17,False,360,0
1135,42.58,True,0,0.0
1140,41.75,False,0,0
1145,42.17,True,0,0.0
1150,41.33,True,0,0.0
1155,40.5,True,0,0.0
1160,39.67,True,0,0.0
1165,38.83,True,0,0.0
1170,38.0,True,0,0.0
1175,37.17,True,0,0.0
1180,36.33,False,0,0
1185,36.75,True,0,0.0
1190,35.92,True,0,0.0
1195,35.08,True,0,0.0
1200,34.25,False,273,0
1205,34.67,False,673,0
1210,35.08,False,517,0
1215,35.5,False,528,0
1220,35.92,True,0,0.0
1225,35.08,False,282,0
1230,35.5,False,0,0
1235,35.92,False,0,0
1240,36.33,False,0,0
1245,36.75,False,0,0
1250,37.17,False,0,0
1255,37.58,False,0,0
1260,38.0,False,0,0
1265,38.42,False,0,0
1270,38.83,False,0,0
1275,39.25,False,0,0
1280,39.67,True,0,0.0
1285,38.83,False,0,0
1290,39.25,False,0,0
1295,39.67,True,0,0.0
1300,38.83,False,0,0
1305,39.25,False,0,0
1310,39.67,True,0,0.0
1315,38.83,False,0,0
1320,39.25,False,0,0
1325,39.67,True,0,0.0
1330,38.83,False,0,0
1335,39.25,False,0,0
1340,39.67,True,0,0.0
1345,38.83,False,0,0
1350,39.25,False,0,0
1355,39.67,True,0,0.0
1360,38.83,True,0,0.0
1365,38.0,True,0,0.0
1370,37.17,True,0,0.0
1375,36.33,False,0,0
1380,36.75,False,0,0
1385,37.17,True,0,0.0
1390,36.33,False,0,0
1395,36.75,True,0,0.0
1400,35.92,True,0,0.0
1405,35.08,True,0,0.0
1410,34.25,False,368,0
1415,34.67,False,477,0
1420,35.08,False,430,0
1425,35.5,False,742,0
1430,35.92,False,774,0
1435,36.33,False,891,0
1440,36.75,False,381,0
1445,37.17,False,486,0
1450,37.58,False,483,0
1455,38.0,False,492,0
1460,38.42,False,568,0
1465,38.83,True,637,0.01061667
1470,38.0,False,702,0
1475,38.42,False,731,0
1480,38.83,False,1098,0
1485,39.25,False,1463,0
1490,39.67,False,1463,0
1495,40.08,False,1463,0
